Company ID,DSRI,GMI,AQI,SGI,DEPI,SGAI,ACCR,LEVI,Status
1,1.624741593,1.12892693,7.185053446,0.36621145,1.381519088,1.624144867,-0.166808698,1.16108165,Yes
2,1,1.6064918,1.004987918,13.08143322,0.4,5.198207171,0.060475162,0.98673249,Yes
3,1,1.015606645,1.241389485,1.475018279,1.169352546,0.64767093,0.036731634,1.264304955,Yes
4,1.486238532,1,0.465534792,0.672839506,2,0.092889908,0.273434125,0.680975008,Yes
5,1,1.369037818,0.637111992,0.861346411,1.454675658,1.741459627,0.123047699,0.939047219,Yes
6,0.905532018,1.360914856,0.783994912,1.793323715,1.278244073,0.505260038,0.054642384,1.543137068,Yes
7,1.447483586,0.998407375,0.966552642,0.911808894,1.058860983,0.898420927,-0.036551612,0.48907319,Yes
8,7.659976157,0.580184063,1.035790958,1.48544007,0.67883321,0.653651141,0.003651969,1.101591314,Yes
9,1.346279046,2.473562702,0.70253012,0.965624478,0.985272875,0.59451069,-0.013484949,1.028458771,Yes
10,1,1,1.166638167,2.592592593,0.850340136,0.557142857,0.001028454,0.163025649,Yes
11,1,0.863155535,1.009766908,1.39501385,1.00187188,0.987882273,-0.004573519,1.006393846,Yes
12,1.448388591,0.79567111,4.001688367,1.067377236,1.085546766,3.734491401,0.090457908,0.22209013,Yes
13,1.274048277,1,1.077100159,0.907874348,1.240435755,3.736372625,0.358456918,0.379347901,Yes
14,1,1.400582754,4.575692217,1.195899281,1.143273836,0.886869051,0.011258956,0.33397698,Yes
15,1.252242124,1.006479864,1.174924006,1.250303986,0.953411259,1.111494403,-0.013453903,1.118080798,Yes
16,8.347614761,0.495239915,0.573016315,0.672111313,0.941860465,1.487848785,0.060810811,13.05855856,Yes
17,1.525969482,0.96144965,-0.431265463,1.331646082,1.093675299,0.856966792,0.087768572,1.107681208,Yes
18,1.778240552,0.742245792,-2.130099643,1.937308198,1,1.806630459,0.14638448,1.079539609,Yes
19,0.615328175,0.859323517,0.899377798,1.716066482,0.942606044,1.566081517,0.13283208,0.138588752,Yes
20,1,-1.416666667,16.42665019,0.416666667,0.068822665,2.4,-0.004070951,1,Yes
21,1,1,-1.540544209,2.666666667,0.16576087,1,0.03524403,0.010580169,Yes
22,1,0.872009682,0.652509736,13.06465312,1.103716473,0.096956356,0.041027948,1.17665472,Yes
23,15.34351209,0.078509647,0.944184283,0.064537591,0.229293458,49.30178069,-0.560536202,1.166785161,Yes
24,14,1,1,0.076923077,1,1,-0.004716981,1.083333333,Yes
25,2.04,1,0.291530824,0.219298246,1,1,0.717842324,1,Yes
26,0.146341463,46.46666667,1,2.277777778,1,0.219512195,0.013937282,0,Yes
27,2.235486064,1,0.472717315,1.16902078,1.036363636,0.904297747,0.510336345,0.536065349,Yes
28,2.165712073,0.986394044,0.906729316,1.19760917,1.046819037,1.363694048,0.017250499,1.203172683,Yes
29,1,1.501809756,1.521190009,1.26302613,0.994791044,0.745659903,0.081258592,1.376939635,Yes
30,36.29118483,-0.515327696,1.014407505,0.027685493,1.142857143,11.79428571,-0.020010625,1.027592881,Yes
31,1,1.058596418,1.181104938,1.564386272,0.803666878,1.157510911,0.053422902,0.838187433,Yes
32,1.322662312,1,0.939321588,1.215182249,1.047781829,1.206063573,0.041868055,0.848333475,Yes
33,1.009933826,1.095583845,5.702904353,0.90274306,1.23717437,0.624587852,0.007919807,2.556236236,Yes
34,1,1,0.408385888,1,1,1,0.387133281,0.358268955,Yes
35,1,1,1.086281015,4.527020448,0.531541078,2.240097936,0.08784162,8.563866324,Yes
36,0.664448807,1.462086957,52.88673355,0.805277823,0.650249708,1.360067464,-0.262953284,3.5541471,Yes
37,1.427451179,1.005147254,0.465711628,1.56988767,0.906373994,0.849487857,0.197596621,0.842003655,Yes
38,3.753596531,3.101434108,1.163565965,0.84795764,1.00288512,0.276007364,-0.592257932,1.070585032,Yes
39,1,0.910133334,0.977250794,1.578684986,1.062822479,0.979850327,0.15685082,0.744894626,Yes
40,0.925846733,1.579955228,6.504205905,1.058279616,0.973034151,1.096510554,-0.057560259,0.922356393,No
41,0.830128952,0.979229492,2.850216205,1.081329708,1.130657783,0.970604257,-0.044229138,1.019726184,No
42,0.985742098,0.954313856,1.221773141,1.081398804,0.975986347,1.078569392,-0.058920611,0.801801967,No
43,1.028521034,1.040063726,-0.688973257,1.076879103,1.03099899,1.098040011,-0.08970467,0.795706453,No
44,1.169150401,1.010303847,1.950529178,1.017565596,0.963828721,1.07800909,-0.066582478,1.037969554,No
45,1.033501847,0.849916101,0.81729215,1.093169538,0.927742444,1,-0.199696126,1.134490105,No
46,0.882707579,1.023666852,1.002912733,1.102276743,0.932366817,0.967308223,-0.020736617,1.134821912,No
47,0.969591471,1.000098201,0.847282051,1.335550828,0.907640019,0.95175376,0.095583525,0.854781939,No
48,0.911379462,1.177776942,0.964304859,1.209115815,0.918166167,0.950886495,-0.009584309,0.972585881,No
49,0.868636436,0.932823174,1.247649911,1.095715349,0.902070519,1.004675323,0.054938536,1.023401605,No
50,0.757167409,0.735625149,1.07422792,1.151383876,0.977980106,0.620171598,-0.103602211,0.945283277,No
51,1.174462536,0.905570974,0.782993211,1.050731953,1.04725361,0.98876604,-0.034863944,1.203748538,No
52,0.944690604,0.999978475,1.109205903,1.100716855,0.996217789,0.794472271,-0.084633525,0.868140974,No
53,1.075758989,0.927167822,1.762716997,1.268848654,0.959116263,0.926431882,-0.054964575,1.049768878,No
54,0.966107284,0.938027655,1.457911645,0.995246576,1.021390765,1.020069913,-0.054914634,1.078678297,No
55,1.651673945,0.985459442,1.105254266,1.117874121,0.970978971,0.847071979,0.046628295,0.940657473,No
56,0.882244526,0.976031642,1.05545912,1.099185917,0.877012973,1.104944307,-0.053458356,1.044073883,No
57,0.968232561,0.999875148,1.094005644,1.206065551,1.008316243,0.786820574,0.01965759,1.108309087,No
58,1.141589929,0.950917279,0.86986267,0.993263024,1.36501494,1.270809427,0.000970568,0.97198089,No
59,1.201377081,0.943109265,0.960016588,0.805631324,1.081087933,0.707754983,-0.012488794,0.89043094,No
60,0.871450974,0.983550683,0.908149266,1.166583408,1.044253815,0.973647967,0.017260044,0.787860141,No
61,1.092946514,1.009246377,1.08446259,0.768031615,0.937464058,1.191978963,-0.037842729,0.860418922,No
62,0.994399126,1.427881933,-0.046079818,1.199575816,1.281097128,1.129039878,-0.021122103,0.884014043,No
63,0.78722438,1.024092887,0.729148833,1.083146235,1.463441676,0.855677739,-0.008336263,1.10215741,No
64,0.887601488,0.990227906,0.753207652,1.083143865,0.982316463,1.03313717,0.010802672,1.002789,No
65,1.312791202,0.973454834,0.516755182,1.051324985,1.06136394,1.036694436,-0.084482571,1.106377669,No
66,0.739942581,1,2.088836372,1.184958428,0.86244881,0.789700551,-0.129584431,0.823916167,No
67,0.854610187,0.5298632,1.261478641,0.881236156,0.968415623,1.611790582,-0.006691695,0.892498012,No
68,1.155407279,0.958148836,1.87057916,0.929543983,0.882607165,1.076749347,-0.067325582,1.006307856,No
69,1.351911955,-0.412865289,-17.15012035,0.773006244,1.023958904,3.259463004,0.25823685,0.922086921,No
70,1.249249272,1.013351395,3.574325346,1.007922581,1.051130928,1.081699582,-0.036663756,0.855396976,No
71,1.035259976,0.927167718,1.652151613,1.001969619,0.96371325,1.41159248,-0.011600249,0.966531007,No
72,1.01458246,1,1.211178222,1.014207191,0.986613103,0.993138126,-0.235152238,1.115539416,No
73,1.088398425,1,0.305231762,2.714990253,0.995474447,1.133560068,0.089925725,0.974836187,No
74,1.099258829,1.006409584,0.911687767,0.93190093,1.085318489,1.636285479,-0.032462724,1.181036371,No
75,0.923425261,1.009563248,1.001339918,1.190859814,1.00460703,1.053478705,-0.074371657,1.213898082,No
76,0.906093536,0.98025478,-1.270196635,1.094434295,0.911196228,1.109250915,0.034364472,1.230815661,No
77,1.179871019,1.031362985,1.053117119,0.983186613,1.071822235,0.956495294,0.00307053,1.170272991,No
78,0.76130829,0.881140784,1.507561457,1.166355359,1.034787753,0.898974474,-0.159308686,1.121679918,No
79,1.148645895,1.133017788,0.684880222,1.656553841,1.359801201,0.691657651,0.006505806,1.207365056,No
80,0.964762975,0.974069746,-3.05091446,1.162830181,0.623707162,1.02244345,-0.029874628,1.031669891,No
81,1.186265005,1.004056172,1.601079992,1.126168626,0.988963198,1.441029415,0.065016963,1.039612286,No
82,0.849613482,1.326363726,1.00583489,0.991559524,1.032226541,1.117482574,-0.023779838,1.135126217,No
83,1.08358005,1.000498082,1.416457915,1.200319393,0.865016335,1.032691425,-0.130456211,0.84443887,No
84,0.751476555,1.101877436,1.017746803,1.297447376,1.007528407,0.937525742,0.004195903,0.920257568,No
85,0.866245174,0.718621722,1.733531101,1.073365039,1.031965297,1.042369953,0.210461865,0.865637636,No
86,1.173877401,1.065768054,1.060280748,0.782787902,1.051019625,0.936928075,-0.040288419,0.963507165,No
87,1.222707228,1.394185104,0.729716763,1.082392922,1.204046723,2.024601778,0.064210813,0.918990907,No
88,1.171873745,0.99649851,1.024707144,0.898344671,1.032278568,1.058101445,-0.044032469,1.189473018,No
89,0.270955152,0.684869912,1.0886701,1.581401328,0.916145115,0.890498434,-0.068128719,0.911871216,No
90,1.187568357,1,0.928175413,1.079480605,0.944746256,1.18931121,0.057375231,1.530917045,No
91,0.330687817,0.717731322,12.88537879,1.065993514,1.09221729,0.640323451,0.113742535,0.993675539,No
92,1.314832984,0.931411335,0.84352858,1.168608391,0.840826496,0.948353962,0.061278895,1.019155774,No
93,0.774895121,0.918441941,4.830353288,1.024228898,0.983603693,1.214038255,-0.098225415,1.172595649,No
94,0.531474509,1.002974042,-3.752402247,0.965450144,0.868986679,1,0.008934361,2.542951542,No
95,0.9009504,0.998606414,5.746791133,1.152016661,1.01631256,1.105884437,-0.029716268,0.915005265,No
96,0.738028421,1.077932465,0.517280994,1.096401592,0.787684822,1.136617248,-0.154327024,0.99693514,No
97,1.224171291,0.922124584,0.981055856,1.255467236,1.019214294,0.888739743,0.092919956,0.606388512,No
98,0.928711344,1.071319081,1.075050738,1.039021993,1.372228303,1.029069478,-0.077163606,0.608503988,No
99,0.956123902,0.984722105,1.33515513,1.10303485,1.075019462,1.094703679,-0.072526475,0.989183891,No
100,1.012862131,1.085506549,0.560647174,1.065677905,1.019738181,0.940729327,-0.076134785,1.129354398,No
101,1.182753965,0.739617112,0.098007762,1.242543395,0.509924901,1.024456234,0.095307177,1.008396902,No
102,1.145331757,0.758300124,1.048682397,0.879142645,1.080797989,1.145261771,-0.055798226,1.514166645,No
103,0.909921167,0.842043874,1.41413438,0.802615736,0.924466028,1.48390437,-0.021519581,0.859973403,No
104,0.827807204,1.1160029,3.883184675,0.989230989,0.937119718,1.315356412,-0.04102035,1.018141163,No
105,0.993861171,0.981168159,2.02111393,1.053735269,0.948649735,1.00023057,0.053021306,0.951844003,No
106,0.921782598,0.633391195,1.1372547,1.087306199,1.043915034,0.890927506,-0.069158121,0.923594064,No
107,3.58389667,0.815924173,0.771745094,1.102446643,1.131544991,0.982213203,-0.013571115,1.159910505,No
108,1.146302293,1.026727413,-0.100610509,1.11631713,1.068967667,0.993450783,-0.061196389,1.152232195,No
